1.2.840.113549.1.1.1: rsaEncryption
1.2.840.113549.1.1.11: sha256WithRSAEncryption
2.5.4.3: commonName
2.5.4.5: serialNumber
2.5.4.6: countryName
2.5.4.7: localityName
2.5.4.8: stateOrProvinceName
2.5.4.9: streetAddress
2.5.4.10: organizationName
2.5.4.11: organizationUnitName
2.5.29.1: authorityKeyIdentifier
2.5.29.9: subjectDirectoryAttributes
2.5.29.14: subjectKeyIdentifier
2.5.29.15: keyUsage
2.5.29.16: privateKeyUsagePeriod
2.5.29.17: subjectAltName
2.5.29.18: issuerAltName
2.5.29.19: basicConstraints
2.5.29.20: cRLNumber
2.5.29.21: reasonCode
